internalCode;responsible;performanceType;createdAt
1;Demandante;RADICADO;01/07/21
1;Juzgado;INADMITIDO;19/11/21
1;Demandante;SUBSANACION;26/11/21
1;Demandante;RADICA_IMPULSO_PROCESAL;18/04/22
1;Juzgado;ADMITE;20/05/22
1;Demandante;NOTIFICACION_PERSONAL;06/06/22
1;Demandado;CONTESTACION_DEMANDA;17/06/22
1;Juzgado;ADMITE;08/08/22
1;Juzgado;FIJA_AUDIENCIA;26/08/22
1;Juzgado;CONCILIADO;29/11/22
2;Demandante;ARCHIVADO;01/07/21
3;Demandante;RADICADO;03/05/21
3;Juzgado;INADMITIDO;21/06/21
3;Demandante;SUBSANACION;28/06/21
3;Juzgado;ADMITE;12/08/21
3;Demandado;CONTESTACION_DEMANDA;06/09/21
3;Demandante;RADICA_IMPULSO_PROCESAL;16/12/21
3;Demandante;RADICA_IMPULSO_PROCESAL;18/04/22
3;Demandante;RADICA_IMPULSO_PROCESAL;06/06/22
3;Juzgado;FIJA_AUDIENCIA;22/07/22
3;Juzgado;ADMITE;22/07/22
3;Juzgado;CONCILIADO;02/12/22
4;Demandante;ARCHIVADO;01/07/21
5;Demandante;RADICADO;04/05/21
5;Demandante;SUBSANACION;06/05/21
5;Juzgado;ADMITE;08/06/21
5;Juzgado;FIJA_AUDIENCIA;08/06/21
5;Demandante;NOTIFICACION_PERSONAL;11/06/21
5;Demandante;RADICA_IMPULSO_PROCESAL;06/07/21
5;Demandado;CONTESTACION_DEMANDA;28/06/21
5;Demandante;CONTESTACION_DEMANDA;14/07/21
5;Demandante;RADICA_IMPULSO_PROCESAL;16/12/21
5;Juzgado;INADMITE_CONTESTACION;24/03/22
5;Juzgado;FIJA_AUDIENCIA;24/03/22
5;Demandante;SUBSANACION;31/03/22
5;Demandante;RADICA_IMPULSO_PROCESAL;18/04/22
5;Juzgado;ADMITE;31/05/22
5;Juzgado;FIJA_AUDIENCIA;31/05/22
5;Juzgado;CONCILIADO;06/09/22
6;Demandante;RADICADO;25/10/21
6;Juzgado;ADMITE;08/02/22
6;Juzgado;FIJA_AUDIENCIA;08/02/22
6;Demandante;NOTIFICACION_PERSONAL;11/02/22
6;Demandado;CONTESTACION_DEMANDA;28/02/22
6;Demandante;RADICA_IMPULSO_PROCESAL;18/04/22
6;Juzgado;INADMITE_CONTESTACION;01/09/22
6;Juzgado;FIJA_AUDIENCIA;01/09/22
6;Demandante;RADICA_IMPULSO_PROCESAL;01/09/22
6;Demandante;SUBSANACION;08/09/22
6;Juzgado;FIJA_AUDIENCIA;28/02/23
6;Juzgado;CONCILIADO;22/03/23
7;Demandante;RADICADO;04/05/21
7;Juzgado;ADMITE;11/08/21
7;Demandado;CONTESTACION_DEMANDA;08/09/21
7;Demandante;RADICA_IMPULSO_PROCESAL;19/04/22
7;Demandante;RADICA_IMPULSO_PROCESAL;06/06/22
7;Juzgado;INADMITE_CONTESTACION;05/07/22
7;Demandante;SUBSANACION;12/07/22
7;Juzgado;ADMITE;01/03/23
7;Juzgado;CONCILIADO;14/04/23
8;Demandante;RADICADO;22/10/21
8;Juzgado;INADMITIDO;26/10/21
8;Demandante;SUBSANACION;02/11/21
8;Juzgado;ADMITE;02/11/21
8;Demandado;CONTESTACION_DEMANDA;23/11/21
8;Demandante;RADICA_IMPULSO_PROCESAL;18/04/22
8;Demandante;RADICA_IMPULSO_PROCESAL;01/09/22
8;Juzgado;INADMITE_CONTESTACION;18/08/23
8;Demandante;SUBSANACION;25/08/23
8;Juzgado;ADMITE;14/12/23
8;Juzgado;CONCILIADO;23/02/24
9;Demandante;RADICADO;04/05/21
9;Juzgado;INADMITIDO;14/05/21
9;Demandante;SUBSANACION;24/05/21
9;Juzgado;FINALIZADO_RECHAZO;15/10/21
10;NA;INADMITIDO;NA
11;Demandante;RADICADO;13/02/24
11;Juzgado;ADMITE;08/05/24
11;Demandante;NOTIFICACION_PERSONAL;08/05/24
11;Juzgado;INADMITE_CONTESTACION;02/07/24
11;Juzgado;FIJA_AUDIENCIA;15/07/24
11;Juzgado;CONCILIADO;20/11/24
12;Demandante;RADICADO;27/05/21
12;Juzgado;ADMITE;28/07/21
12;Demandante;NOTIFICACION_PERSONAL;30/07/21
12;Demandado;CONTESTACION_DEMANDA;18/08/21
12;Juzgado;FIJA_AUDIENCIA;04/04/22
12;Juzgado;ADMITE;04/04/22
12;Juzgado;CONCILIADO;07/09/22
13;Demandante;RADICADO;11/05/21
13;Juzgado;INADMITIDO;20/05/21
13;Demandante;SUBSANACION;25/05/21
13;Juzgado;ADMITE;26/05/21
13;Demandante;NOTIFICACION_PERSONAL;11/06/21
13;Demandado;CONTESTACION_DEMANDA;19/08/21
13;Demandante;RADICA_IMPULSO_PROCESAL;23/08/21
13;Juzgado;FIJA_AUDIENCIA;26/08/21
13;Juzgado;ADMITE;23/09/21
13;Demandante;RADICA_IMPULSO_PROCESAL;02/02/22
13;Juzgado;FIJA_AUDIENCIA;10/02/22
13;Demandado;CONTESTACION_DEMANDA;10/02/22
13;Juzgado;ADMITE;10/02/22
13;Demandante;RADICA_IMPULSO_PROCESAL;14/02/22
13;Juzgado;ADMITE;21/02/22
13;Juzgado;ADMITE;22/07/22
13;Juzgado;ADMITE;22/08/22
13;Demandante;RADICA_IMPULSO_PROCESAL;01/09/22
13;Juzgado;FIJA_AUDIENCIA;02/09/22
13;Juzgado;ADMITE;02/09/22
13;Juzgado;ADMITE;12/09/22
13;Demandante;RADICA_IMPULSO_PROCESAL;16/09/22
13;Juzgado;ADMITE;25/10/22
13;Juzgado;ADMITE;16/11/22
13;Juzgado;FIJA_AUDIENCIA;24/11/22
13;Juzgado;ADMITE;02/02/23
13;Demandante;RADICA_IMPULSO_PROCESAL;07/03/23
13;Demandante;RETIRO_DEMANDA;15/08/23
13;Juzgado;ARCHIVADO;15/08/23
14;Demandante;RADICADO;15/09/22
14;Juzgado;INADMITIDO;28/03/23
14;Demandante;SUBSANACION;10/04/23
14;Demandante;RADICA_IMPULSO_PROCESAL;20/04/23
14;Juzgado;ADMITE;03/05/23
14;Juzgado;FIJA_AUDIENCIA;09/08/23
14;Demandante;RADICA_IMPULSO_PROCESAL;17/08/23
14;Demandado;CONTESTACION_DEMANDA;05/09/23
14;Juzgado;ADMITE;15/09/23
14;Demandante;RADICA_IMPULSO_PROCESAL;15/04/24
14;Demandante;RADICA_IMPULSO_PROCESAL;23/05/24
14;Juzgado;FIJA_AUDIENCIA;13/06/24
14;Demandante;RADICA_IMPULSO_PROCESAL;14/06/24
14;Demandante;RADICA_IMPULSO_PROCESAL;27/08/24
14;Juzgado;CONCILIADO;28/08/24
15;Demandante;RADICADO;15/09/22
15;Juzgado;ADMITE;31/01/23
15;Demandante;NOTIFICACION_PERSONAL;31/01/23
15;Demandante;RADICA_IMPULSO_PROCESAL;08/02/23
15;Demandado;CONTESTACION_DEMANDA;24/02/23
15;Juzgado;FIJA_AUDIENCIA;26/05/23
15;Juzgado;ADMITE;26/05/23
15;Juzgado;ADMITE;30/05/23
15;Juzgado;ADMITE;20/06/23
15;Juzgado;ADMITE;11/07/23
15;Juzgado;FIJA_AUDIENCIA;11/07/23
15;Juzgado;CONCILIADO;21/07/23
16;Demandante;RADICADO;19/07/21
16;Juzgado;INADMITIDO;24/08/21
16;Demandante;SUBSANACION;15/09/21
16;Juzgado;ADMITE;28/10/21
16;Demandante;NOTIFICACION_PERSONAL;28/10/21
16;Demandado;CONTESTACION_DEMANDA;01/12/21
16;Demandante;RADICA_IMPULSO_PROCESAL;16/11/21
16;Demandante;RADICA_IMPULSO_PROCESAL;18/04/22
16;Demandante;RADICA_IMPULSO_PROCESAL;06/06/22
16;Demandante;RADICA_IMPULSO_PROCESAL;13/09/22
16;Juzgado;FIJA_AUDIENCIA;27/09/22
16;Juzgado;FIJA_AUDIENCIA;29/03/23
16;Juzgado;FIJA_AUDIENCIA;11/04/23
16;Juzgado;FIJA_AUDIENCIA;18/08/23
16;Juzgado;FIJA_AUDIENCIA;17/08/23
16;Juzgado;FIJA_AUDIENCIA;11/09/23
16;Juzgado;CONCILIADO;06/12/23
17;Demandante;RADICADO;22/10/21
17;Juzgado;INADMITIDO;26/10/21
17;Demandante;SUBSANACION;02/11/21
17;Juzgado;ADMITE;02/11/21
17;Demandante;NOTIFICACION_PERSONAL;02/11/21
17;Demandante;RADICA_IMPULSO_PROCESAL;02/11/21
17;Demandado;CONTESTACION_DEMANDA;23/11/21
